country,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU
1961-12,,,,,,,,,,,,,,2.6,,-4.056376,12.99,7.59,19.89,,,,,,,,,,
1962-01,,,,,,,,,,,,,,1.96,,-3.686711,10.16,4.48,19.32,,,,,,,,,,
1962-02,,,,,,,,,,,,,,-0.72,,-8.420897,10.97,3.46,14.39,,,,,,,,,,
1962-03,,,,,,,,,,,,,,-0.1,,-6.782716,12.61,10.37,10.42,,,,,,,,,,
1962-04,,,,,,,,,,,,,,1.63,,-1.905552,15.27,9.11,8.93,,,,,,,,,,
1962-05,,,,,,,,,,,,,,1.06,,0.582448,13.88,7.37,7.22,,,,,,,,,,
1962-06,,,,,,,,,,,,,,4.16,,-0.1897659,11.07,2.42,5.86,,,,,,,,,,
1962-07,,,,,,,,,,,,,,2.1,,-3.857183,9.01,4.46,6.47,,,,,,,,,,
1962-08,,,,,,,,,,,,,,4.05,,-7.463315,7.45,6.87,5.24,,,,,,,,,,
1962-09,,,,,,,,,,,,,,4.79,,-4.359953,11.24,7.72,5.25,,,,,,,,,,
1962-10,,,,,,,,,,,,,,3.8,,-2.295487,14.93,4.47,5.48,,,,,,,,,,
1962-11,,,,,,,,,,,,,,2.11,,-6.84978,10.63,4.42,-0.34,,,,,,,,,,
1962-12,,,,,,,,,,,,-4.8,,7.26,-14.5,-5.681303,7.39,-0.45,5.09,,,,,,,,,,
1963-01,,,,,,,,,,,,-7.8,,14.05,-21.5,-12.35585,12.03,-9.06,4.44,,,,,,,,,,
1963-02,,,,,,,,,,,,-7.13,,11.13,-18.5,-26.75829,7.71,4.05,5.02,,,,,,,,,,
1963-03,,,,,,,,,,,,-6.13,,9.87,-16.5,-2.727993,8.4,2.86,7.47,,,,,,,,,,
1963-04,,,,,,,,,,,,-6.46,,9.77,-15.5,-2.905046,6.1,-0.97,7.63,,,,,,,,,,
1963-05,,,,,,,,,,,,-5.79,,11.05,-14.5,-8.916438,7.77,2.37,7.84,,,,,,,,,,
1963-06,,,,,,,,,,,,-2.79,,6.44,-12.5,-3.848824,10.74,4.37,4.21,,,,,,,,,,
1963-07,,,,,,,,,,,,-3.12,,7.08,-11.5,0.4372537,9.66,8.66,3.96,,,,,,,,,,
1963-08,,,,,,,,,,,,-2.12,,6.31,-8.5,1.814034,9.41,4.91,3.7,,,,,,,,,,
1963-09,,,,,,,,,,,,-1.12,,4.95,-7.5,2.772066,8.99,7.02,6.4,,,,,,,,,,
1963-10,,,,,,,,,,,,-1.45,,4.63,-10.5,2.466619,11.48,8.55,6.13,,,,,,,,,,
1963-11,,,,,,,,,,,,-1.78,,4.88,-10.5,5.72378,10.39,7.94,5.81,,,,,,,,,,
1963-12,,,,,,,,,,,,1.89,,2.07,-5.5,0.8819733,13.09,8.47,8.07,,,,,,,,,,
1964-01,,,,,,,,,,,,4.89,,-1.98,-1.5,9.679482,13.94,12.36,9.79,,,,,,,,,,
1964-02,,,,,,,,,,,,6.22,,-2.05,2.5,12.27965,14.33,14.08,11.75,,,,,,,,,,
1964-03,,,,,,,,,,,,6.89,,-4.19,3.5,14.53219,13.13,8.95,10.53,,,,,,,,,,
1964-04,,,,,,,,,,,,9.56,,-7.11,5.5,8.816816,16.16,10.99,11.46,,,,,,,,,,
1964-05,,,,,,,,,,,,10.23,,-11.94,7.5,9.169911,11.62,15.02,13.61,,,,,,,,,,
1964-06,,,,,,,,,,,,9.9,,-10.25,8.5,22.89647,11.27,9.46,19.31,,,,,,,,,,
1964-07,,,,,,,,,,,,9.9,,-10.93,6.5,11.00825,12.1,8.16,20.25,,,,,,,,,,
1964-08,,,,,,,,,,,,11.9,,-12.42,9.5,3.747867,14.45,7.78,20.96,,,,,,,,,,
1964-09,,,,,,,,,,,,12.23,,-14.1,8.5,1.700493,13.77,9.01,19.62,,,,,,,,,,
1964-10,,,,,,,,,,,,11.56,,-12.53,7.5,7.464075,14.78,14.46,20.68,,,,,,,,,,
1964-11,,,,,,,,,,,,11.23,,-13.3,3.5,10.69308,17.2,11.28,17.98,,,,,,,,,,
1964-12,,,,,,,,,,,,11.56,,-12.0,3.5,7.177928,18.99,16.21,14.11,,,,,,,,,,
1965-01,,,,,,,,,,,,10.89,,-9.98,5.5,12.00172,17.11,16.98,11.56,,,,,,,,,,
1965-02,,,,,,,,,,,,9.56,,-9.21,2.5,9.261169,16.85,7.24,10.06,,,,,,,,,,
1965-03,,,,,,,,,,,,8.56,,-7.34,3.5,1.867012,14.98,7.48,10.33,,,,,,,,,,
1965-04,,,,,,,,,,,,7.23,,-5.04,2.5,-0.6138244,14.2,11.1,9.94,,,,,,,,,,
1965-05,,,,,,,,,,,,4.9,,-2.95,-0.5,9.649632,12.36,6.64,13.86,,,,,,,,,,
1965-06,,,,,,,,,,,,2.57,,1.07,-3.5,-2.515049,11.78,5.9,8.75,,,,,,,,,,
1965-07,,,,,,,,,,,,2.57,,3.17,-2.5,-1.99552,12.83,1.06,7.66,,,,,,,,,,
1965-08,,,,,,,,,,,,2.57,,3.89,-0.5,2.026882,12.4,6.15,7.77,,,,,,,,,,
1965-09,,,,,,,,,,,,1.9,,3.6,-2.5,1.102461,12.43,5.84,6.99,,,,,,,,,,
1965-10,,,,,,,,,,,,-1.43,,6.34,-7.5,2.284651,9.8,4.83,7.89,,,,,,,,,,
1965-11,,,,,,,,,,,,-2.76,,6.71,-9.5,-3.80085,8.48,4.26,6.15,,,,,,,,,,
1965-12,,,,,,,,,,,,-5.09,,11.07,-12.5,-6.698416,8.01,2.89,13.77,,,,,,,,,,
1966-01,,,,,,,,,,,,-5.09,,8.85,-13.5,-7.352219,7.48,7.13,18.74,,,,,,,,,,
1966-02,,,,,,,,,,,,-5.76,,9.7,-12.5,-2.979978,5.35,2.15,21.38,,,,,,,,,,
1966-03,,,,,,,,,,,,-7.76,,12.62,-16.5,-6.238857,5.89,3.78,14.14,,,,,,,,,,
1966-04,,,,,,,,,,,,-9.43,,15.08,-16.5,-8.804482,3.27,0.08,10.3,,,,,,,,,,
1966-05,,,,,,,,,,,,-12.1,,18.08,-21.5,-7.103286,3.29,-2.76,5.91,,,,,,,,,,
1966-06,,,,,,,,,,,,-15.1,,19.35,-24.5,-16.90898,-0.61,-1.46,2.66,,,,,,,,,,
1966-07,,,,,,,,,,,,-18.43,,23.43,-28.5,-16.47494,-3.06,-6.53,0.15,,,,,,,,,,
1966-08,,,,,,,,,,,,-20.1,,24.93,-28.5,-20.72821,-6.61,-10.05,-2.92,,,,,,,,,,
1966-09,,,,,,,,,,,,-27.77,,30.16,-38.5,-24.75727,-14.99,-15.25,-4.16,,,,,,,,,,
1966-10,,,,,,,,,,,,-31.77,,32.11,-43.5,-30.41896,-19.47,-22.16,-7.24,,,,,,,,,,
1966-11,,,,,,,,,,,,-40.44,,36.81,-52.5,-33.43585,-31.5,-20.73,-13.49,,,,,,,,,,
1966-12,,,,,,,,,,,,-39.11,,37.23,-54.5,-26.55019,-26.31,-31.76,-8.98,,,,,,,,,,
1967-01,,,,,,,,,,,,-35.11,,36.65,-52.5,-34.63215,-16.1,-24.6,-8.11,,,,,,,,,,
1967-02,,,,,,,,,,,,-36.11,,36.79,-57.5,-29.14541,-14.04,-20.45,-7.41,,,,,,,,,,
1967-03,,,,,,,,,,,,-35.78,,35.64,-59.5,-25.57867,-12.11,-14.84,-6.34,,,,,,,,,,
1967-04,,,,,,,,,,,,-32.78,,34.22,-54.5,-17.34402,-9.83,-16.45,-6.79,,,,,,,,,,
1967-05,,,,,,,,,,,,-30.45,,32.09,-53.5,-25.357,-5.68,-10.12,-7.26,,,,,,,,,,
1967-06,,,,,,,,,,,,-30.12,,30.61,-56.5,-11.55095,-2.81,-6.45,-6.45,,,,,,,,,,
1967-07,,,,,,,,,,,,-23.79,,26.9,-47.5,-13.08075,3.4,-2.05,-4.6,,,,,,,,,,
1967-08,,,,,,,,,,,,-20.79,,24.74,-41.5,-3.178697,4.65,5.96,-3.04,,,,,,,,,,
1967-09,,,,,,,,,,,,-17.12,,22.53,-37.5,6.568511,9.55,5.9,-6.1,,,,,,,,,,
1967-10,,,,,,,,,,,,-12.12,,16.69,-32.5,13.05807,13.48,8.75,-7.38,,,,,,,,,,
1967-11,,,,,,,,,,,,-8.12,,6.74,-30.5,10.96472,13.27,19.74,-10.91,,,,,,,,,,
1967-12,,,,,,,,,,,,-9.12,,8.43,-31.5,10.95326,13.17,1.02,0.51,,,,,,,,,,
1968-01,,,,,,,,,,,,-8.12,,7.42,-29.5,-6.367243,12.85,8.12,1.44,,,,,,,,,,
1968-02,,,,,,,,,,,,-6.12,,7.07,-22.5,0.2440796,11.51,11.53,2.18,,,,,,,,,,
1968-03,,,,,,,,,,,,-1.45,,5.0,-16.5,9.359884,16.76,16.28,5.39,,,,,,,,,,
1968-04,,,,,,,,,,,,1.55,,2.57,-11.5,11.03667,19.17,16.46,11.1,,,,,,,,,,
1968-05,,,,,,,,,,,,4.88,,-0.8,-7.5,13.3583,21.4,14.31,14.84,,,,,,,,,,
1968-06,,,,,,,,,,,,8.55,,-5.01,-4.5,5.721319,25.1,16.87,14.68,,,,,,,,,,
1968-07,,,,,,,,,,,,11.55,,-8.56,4.5,21.80253,21.93,23.22,11.85,,,,,,,,,,
1968-08,,,,,,,,,,,,16.22,,-11.94,10.5,20.14835,26.37,22.33,10.47,,,,,,,,,,
1968-09,,,,,,,,,,,,17.89,,-16.14,11.5,19.11661,26.24,22.18,13.25,,,,,,,,,,
1968-10,,,,,,,,,,,,17.89,,-15.12,10.5,17.61092,28.58,22.04,15.39,,,,,,,,,,
1968-11,,,,,,,,,,,,17.89,,-14.53,10.5,18.69101,28.99,20.58,15.86,,,,,,,,,,
1968-12,,,,,,,,,,,,18.89,,-12.31,19.5,15.84284,25.34,21.1,14.15,,,,,,,,,,
1969-01,,,,,,,,,,,,19.89,,-12.59,23.5,22.47571,24.33,18.79,12.97,,,,,,,,,,
1969-02,,,,,,,,,,,,20.56,,-15.45,22.5,16.59356,23.99,20.2,19.26,,,,,,,,,,
1969-03,,,,,,,,,,,,23.23,,-17.43,29.5,17.08258,23.48,15.8,16.42,,,,,,,,,,
1969-04,,,,,,,,,,,,25.23,,-17.93,34.5,19.49348,23.01,18.81,19.65,,,,,,,,,,
1969-05,,,,,,,,,,,,23.23,,-18.63,31.5,15.42367,20.57,19.4,20.46,,,,,,,,,,
1969-06,,,,,,,,,,,,22.9,,-17.68,31.5,22.36798,19.87,14.73,22.46,,,,,,,,,,
1969-07,,,,,,,,,,,,22.23,,-16.03,31.5,16.40084,18.66,10.99,27.07,,,,,,,,,,
1969-08,,,,,,,,,,,,24.9,,-16.82,34.5,11.52025,23.16,10.67,29.74,,,,,,,,,,
1969-09,,,,,,,,,,,,25.23,,-19.89,34.5,10.10275,21.18,17.84,32.53,,,,,,,,,,
1969-10,,,,,,,,,,,,23.56,,-18.25,29.5,6.934368,23.19,9.7,30.36,,,,,,,,,,
1969-11,,,,,,,,,,,,20.89,,-18.09,23.5,11.83803,20.78,8.02,30.94,,,,,,,,,,
1969-12,,,,,,,,,,,,19.22,,-15.15,21.5,0.7225485,21.58,12.35,24.88,,,,,,,,,,
1970-01,,,,,,,,,,,,16.22,,-12.51,20.5,-1.034594,16.43,7.92,19.11,,,,,,,,,,
1970-02,,,,,,,,,,,,14.89,,-8.67,22.5,0.001480579,14.42,6.85,11.79,,,,,,,,,,
1970-03,,,,,,,,,,,,10.56,,-4.65,17.5,-3.019995,9.94,5.23,10.7,,,,,,,,,,
1970-04,,,,,,,,,,,,7.89,,-3.34,11.5,-4.963933,8.92,1.03,19.17,,,,,,,,,,
1970-05,,,,,,,,,,,,3.56,,-0.09,10.5,-3.173571,0.64,0.86,21.08,,,,,,,,,,
1970-06,,,,,,,,,,,,3.23,,1.58,8.5,-6.679749,2.75,-2.63,28.54,,,,,,,,,,
1970-07,,,,,,,,,,,,4.56,,-0.81,6.5,-12.58518,6.24,-10.03,29.77,,,,,,,,,,
1970-08,,,,,,,,,,,,2.56,,4.16,8.5,-8.16678,2.86,-5.06,24.66,,,,,,,,,,
1970-09,,,,,,,,,,,,-1.11,,6.42,-0.5,-9.415531,4.13,-2.4,24.33,,,,,,,,,,
1970-10,,,,,,,,,,,,-6.44,,8.4,-9.5,-9.063378,-1.01,-0.47,21.57,,,,,,,,,,
1970-11,,,,,,,,,,,,-8.77,,9.21,-16.5,-16.45403,-1.14,-0.33,13.68,,,,,,,,,,
1970-12,,,,,,,,,,,,-6.1,,7.04,-11.5,-7.188869,0.26,-11.16,12.02,,,,,,,,,,
1971-01,,,,,,,,,,,,-9.1,,11.77,-14.5,-12.26821,-0.6,-3.06,13.56,,,,,,,,,,
1971-02,,,,,,,,,,,,-4.77,,8.16,-11.5,-10.74479,4.97,-3.06,12.05,,,,,,,,,,
1971-03,,,,,,,,,,,,-9.44,,9.1,-16.5,-11.89496,-2.82,-6.24,12.83,,,,,,,,,,
1971-04,,,,,,,,,,,,-12.11,,11.22,-19.5,-21.92764,-6.2,-2.26,13.14,,,,,,,,,,
1971-05,,,,,,,,,,,,-12.78,,14.56,-20.5,-18.4679,-2.38,-4.2,14.94,,,,,,,,,,
1971-06,,,,,,,,,,,,-11.78,,13.76,-22.5,-19.52133,1.66,-5.08,16.57,,,,,,,,,,
1971-07,,,,,,,,,,,,-16.45,,16.3,-25.5,-6.523196,-6.67,-8.62,22.86,,,,,,,,,,
1971-08,,,,,,,,,,,,-21.12,,20.51,-29.5,-20.81139,-12.62,-9.59,16.52,,,,,,,,,,
1971-09,,,,,,,,,,,,-25.45,,24.72,-32.5,-21.454,-19.0,-10.92,11.98,,,,,,,,,,
1971-10,,,,,,,,,,,,-25.45,,21.18,-37.5,-20.05777,-17.35,-20.44,10.62,,,,,,,,,,
1971-11,,,,,,,,,,,,-22.45,,20.41,-41.5,-22.31351,-4.83,-7.84,9.96,,,,,,,,,,
1971-12,,,,,,,,,,,,-19.12,,21.29,-33.5,-12.68264,-2.56,-6.01,12.71,,,,,,,,,,
1972-01,,,,,,,,,,,,-15.45,,15.23,-31.5,-10.07962,0.47,-1.78,10.37,,,,,,,,,,
1972-02,,,,,,,,,,,,-14.12,,18.76,-24.5,-15.29356,1.59,-0.46,11.57,,,,,,,,,,
1972-03,,,,,,,,,,,,-12.12,,16.64,-23.5,-7.246307,4.41,-0.8,11.9,,,,,,,,,,
1972-04,,,,,,,,,,,,-12.45,,17.56,-26.5,-8.09071,6.76,-3.3,10.35,,,,,,,,,,
1972-05,,,,,,,,,,,,-12.78,,17.31,-26.5,-9.015232,6.62,2.28,13.77,,,,,,,,,,
1972-06,,,,,,,,,,,,-9.45,,16.89,-23.5,-1.233355,11.9,1.78,13.46,,,,,,,,,,
1972-07,,,,,,,,,,,,-9.45,,13.16,-23.5,-0.4042625,8.04,7.84,15.47,,,,,,,,,,
1972-08,,,,,,,,,,,,-7.12,,12.04,-23.5,-1.774686,13.8,1.29,16.82,,,,,,,,,,
1972-09,,,,,,,,,,,,-5.12,,9.21,-19.5,4.853007,13.52,7.31,19.17,,,,,,,,,,
1972-10,,,,,,,,,,,,-2.12,,5.33,-17.5,7.541821,16.78,13.55,20.24,,,,,,,,,,
1972-11,,,,,,,,,,,,0.21,,3.93,-13.5,12.08134,18.17,14.78,26.54,,,,,,,,,,
1972-12,,,,,,,,,,,,2.88,,0.67,-9.5,12.36839,18.92,14.54,36.21,,,,,,,,,,
1973-01,,,,,,,,,,,,7.55,,-1.18,3.5,9.997087,18.01,16.76,29.73,,,,,,,,11.0,,
1973-02,,,,,,,,,,,,7.88,,-3.12,4.5,13.47393,16.54,12.23,25.09,,,,,,,,8.0,,
1973-03,,,,,,,,,,,,5.88,,-2.16,1.5,-1.997307,13.98,7.3,26.55,,,,,,,,4.0,,
1973-04,,,,,,,,,,,,7.55,,-7.49,4.5,9.278581,10.73,16.4,25.86,,,,,,,,-1.0,,
1973-05,,,,,,,,,,,,7.55,,-5.04,6.5,16.73712,11.05,6.11,26.91,,,,,,,,-5.0,,
1973-06,,,,,,,,,,,,3.88,,-3.15,0.5,-3.312924,8.03,5.35,26.06,,,,,,,,-6.0,,
1973-07,,,,,,,,,,,,1.88,,-1.2,-1.5,-5.346053,5.92,3.06,30.42,,,,,,,,-6.0,,
1973-08,,,,,,,,,,,,-0.45,,-0.1,-6.5,-3.592937,4.76,3.37,27.03,,,,,,,,-7.0,,
1973-09,,,,,,,,,,,,-3.45,,2.99,-8.5,-10.56532,0.69,1.04,35.85,,,,,,,,-8.0,,
1973-10,,,,,,,,,,,,-11.45,,6.02,-11.5,-11.05595,-16.93,-3.47,42.36,,,,,,,,-9.0,,
1973-11,,,,,,,,,,,,-15.12,,7.78,-20.5,-11.79956,-17.21,-7.58,42.64,,,,,,,,-12.0,,
1973-12,,,,,,,,,,,,-12.45,,9.08,-15.5,-22.29236,-12.74,-6.15,45.72,,,,,,,,-16.0,,
1974-01,,,,,,,,,,,,-11.78,,11.36,-15.5,-12.76818,-7.95,-15.39,50.09,,,,,,,,-20.0,,
1974-02,,,,,,,,,,,,-12.45,,10.68,-16.5,-19.35077,-10.21,-10.16,43.63,,,,,,,,-17.0,,
1974-03,,,,,,,,,,,,-13.12,,11.67,-18.5,-15.38577,-8.91,-4.65,46.56,,,,,,,,-17.0,,
1974-04,,,,,,,,,,,,-15.45,,14.24,-21.5,-13.59689,-11.19,-9.18,39.92,,,,,,,,-15.0,,
1974-05,,,,,,,,,,,,-19.12,,17.47,-27.5,-11.80579,-11.44,-15.71,35.22,,,,,,,,-13.0,,
1974-06,,,,,,,,,,,,-21.45,,19.8,-28.5,-30.0391,-15.5,-5.36,27.2,,,,,,,,-13.0,,
1974-07,,,,,,,,,,,,-22.45,,22.25,-29.5,-9.43867,-16.01,-10.65,24.3,,,,,,,,-13.0,,
1974-08,,,,,,,,,,,,-28.78,,24.82,-39.5,-20.60282,-21.57,-17.64,20.64,,,,,,,,-13.0,,
1974-09,,,,,,,,,,,,-33.45,,33.09,-41.5,-30.02795,-25.89,-23.62,18.94,,,,,,,,-12.0,,
1974-10,,,,,,,,,,,,-36.45,,34.15,-51.5,-34.38204,-24.08,-25.3,21.34,,,,,,,,-12.0,,
1974-11,,,,,,,,,,,,-39.12,,35.97,-54.5,-35.3113,-26.91,-27.95,16.06,,,,,,,,-11.0,,
1974-12,,,,,,,,,,,,-42.12,,37.54,-59.5,-38.60518,-28.57,-30.14,11.21,,,,,,,,-11.0,,
1975-01,,,,,,,,,,,,-39.79,,37.81,-58.5,-32.19976,-22.68,-31.41,7.01,,,,,,,,-10.0,,
1975-02,,,,,,,,,,,,-40.12,,41.3,-59.5,-33.24688,-19.52,-25.43,4.9,,,,,,,,-8.0,,
1975-03,,,,,,,,,,,,-39.79,,41.39,-60.5,-30.65757,-17.22,-20.97,3.85,,,,,,,,-7.0,,
1975-04,,,,,,,,,,,,-39.12,,39.87,-63.5,-23.51114,-14.0,-30.07,9.02,,,,,,,,-5.0,,
1975-05,,,,,,,,,,,,-37.12,,37.64,-59.5,-30.03917,-13.9,-8.9,6.35,,,,,,,,-3.0,,
1975-06,,,,,,,,,,,,-35.12,,35.69,-59.5,0.5140309,-10.17,-13.66,10.44,,,,,,,,-4.0,,
1975-07,,,,,,,,,,,,-31.12,,32.78,-58.5,-11.6935,-1.73,-13.83,12.66,,,,,,,,-4.0,,
1975-08,,,,,,,,,,,,-27.79,,29.8,-54.5,-13.14452,0.98,-1.13,17.34,,,,,,,,-4.0,,
1975-09,,,,,,,,,,,,-22.79,,25.18,-50.5,-3.701293,7.32,6.11,22.3,,,,,,,,-4.0,,
1975-10,,,,,,,,,,,,-20.79,,21.62,-49.5,3.860209,9.42,5.6,23.97,,,,,,,,-5.0,,
1975-11,,,,,,,,,,,,-17.12,,18.33,-47.5,0.3880882,15.35,1.67,25.17,,,,,,,,-2.0,,
1975-12,,,,,,,,,,,,-13.45,,15.92,-38.5,5.082495,14.55,12.55,25.78,,,,,,,,2.0,,
1976-01,,,,,,,,,,,,-12.45,,14.1,-35.5,4.356688,12.67,16.51,30.48,,,,,,,,4.0,,
1976-02,,,,,,,,,,,,-9.45,,14.02,-25.5,8.580204,11.33,9.29,34.3,,,,,,,,5.0,,
1976-03,,,,,,,,,,,,-9.78,,15.09,-24.5,-0.3215714,9.85,9.09,32.23,,,,,,,,5.0,,
1976-04,,,,,,,,,,,,-9.45,,11.67,-24.5,-4.420349,8.37,8.51,29.93,,,,,,,,5.0,,
1976-05,,,,,,,,,,,,-9.45,,8.59,-25.5,-1.810407,6.17,6.61,30.31,,,,,,,,5.0,,
1976-06,,,,,,,,,,,,-8.45,,8.66,-26.5,-2.967209,10.15,3.93,28.31,,,,,,,,5.0,,
1976-07,,,,,,,,,,,,-10.78,,10.39,-26.5,-6.212914,5.68,1.98,26.55,,,,,,,,6.0,,
1976-08,,,,,,,,,,,,-11.45,,8.54,-29.5,-7.008343,3.78,1.79,18.4,,,,,,,,6.0,,
1976-09,,,,,,,,,,,,-12.12,,8.16,-28.5,-6.447594,0.13,-1.27,20.64,,,,,,,,7.0,,
1976-10,,,,,,,,,,,,-13.45,,10.22,-30.5,-8.640861,0.26,-4.89,21.3,,,,,,,,7.0,,
1976-11,,,,,,,,,,,,-14.78,,8.8,-32.5,-6.759602,-2.41,-1.35,18.4,,,,,,,,7.0,,
1976-12,,,,,,,,,,,,-14.78,,12.06,-30.5,-8.158578,-2.21,-5.61,16.22,,,,,,,,6.0,,
1977-01,,,,,,,,,,,,-17.45,,14.31,-32.5,-23.96064,-6.0,-5.73,15.64,,,,,,,,5.0,,
1977-02,,,,,,,,,,,,-18.45,,14.97,-30.5,-5.945259,-9.93,-2.72,12.14,,,,,,,,3.0,,
1977-03,,,,,,,,,,,,-17.78,,16.05,-32.5,-7.205406,-5.18,-9.84,11.83,,,,,,,,2.0,,
1977-04,,,,,,,,,,,,-18.45,,16.66,-34.5,-18.39133,-4.26,-4.0,13.31,,,,,,,,0.0,,
1977-05,,,,,,,,,,,,-20.78,,18.36,-38.5,-12.84475,-4.96,-5.43,14.93,,,,,,,,-2.0,,
1977-06,,,,,,,,,,,,-22.11,,18.56,-39.5,-18.7776,-8.01,-6.56,14.76,,,,,,,,-1.0,,
1977-07,,,,,,,,,,,,-22.11,,18.02,-40.5,-14.65565,-7.65,-8.97,14.68,,,,,,,,0.0,,
1977-08,,,,,,,,,,,,-21.78,,19.16,-39.5,-14.49805,-6.39,-8.93,13.64,,,,,,,,0.0,,
1977-09,,,,,,,,,,,,-21.11,,18.99,-40.5,-12.46962,-3.71,-9.89,14.37,,,,,,,,1.0,,
1977-10,,,,,,,,,,,,-20.78,,15.76,-40.5,-12.11751,-5.59,-3.31,13.3,,,,,,,,1.0,,
1977-11,,,,,,,,,,,,-21.45,,19.23,-40.5,-11.49819,-4.97,1.65,13.95,,,,,,,,2.0,,
1977-12,,,,,,,,,,,,-20.12,,16.92,-39.5,3.637205,-3.76,-6.46,17.79,,,,,,,,3.0,,
1978-01,,,,,,,,,,,,-18.79,,16.38,-36.5,-17.7048,-2.76,-15.05,14.33,,,,,,,,2.0,,
1978-02,,,,,,,,,,,,-19.46,,17.15,-35.5,-20.10824,-5.57,-11.17,17.33,,,,,,,,2.0,,
